id,value,type,threat_type,malware,malware_aliases,first_seen,last_seen,confidence_level,reporter,tags,reference,anonymous
1809498,mercore7is.velorix.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T09:14:58+00:00,2026-05-09T09:15:07+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809497,memory-tone.nanovo5kull.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T09:07:38+00:00,,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809496,dsff.softwincli.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T09:03:16+00:00,2026-05-09T09:03:44+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809495,sshpro.skynodecfg.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:55:27+00:00,2026-05-09T08:56:26+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809494,tcp.skynodecfg.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:44:05+00:00,2026-05-09T08:45:34+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809493,netman.skynodecfg.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:32:19+00:00,2026-05-09T08:32:58+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809492,git.softwincli.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:30:16+00:00,2026-05-09T08:35:11+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809491,sys.softnetlink.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:20:35+00:00,2026-05-09T08:21:40+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809490,ops.softwincli.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:19:02+00:00,2026-05-09T08:19:27+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809489,webdoc.softnetlink.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:09:26+00:00,2026-05-09T08:09:52+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809488,bin.softwincli.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:07:24+00:00,2026-05-09T08:07:45+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809487,app.softnetlink.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:03:47+00:00,2026-05-09T08:04:22+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809486,cli.softwincli.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T08:02:04+00:00,2026-05-09T08:02:16+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809485,logbin.softnetlink.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:58:13+00:00,2026-05-09T07:58:55+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809484,win.softwincli.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:56:10+00:00,2026-05-09T07:56:39+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809483,apiops.softnetlink.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:52:47+00:00,2026-05-09T07:53:28+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809482,sys.softwincli.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:50:54+00:00,2026-05-09T07:51:22+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809481,git.softnetlink.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:46:59+00:00,2026-05-09T07:48:22+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809480,pro.skyprodoc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:45:02+00:00,,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809479,pro.skyprodoc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:45:01+00:00,,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809478,877zsa.earoauth.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:43:10+00:00,2026-05-09T07:43:40+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809477,tcp.skyprodoc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:39:17+00:00,2026-05-09T07:40:22+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809476,ultra-sh4p3.earoauth.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:38:04+00:00,2026-05-09T07:38:18+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809475,ssh.skyprodoc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:33:48+00:00,2026-05-09T07:34:57+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809474,0dptx.earoauth.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:33:40+00:00,2026-05-09T07:33:45+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809473,doc.skyprodoc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:28:21+00:00,2026-05-09T07:29:27+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809472,c4che-pulse.earoauth.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:28:10+00:00,2026-05-09T07:30:20+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809471,usr.skyprodoc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:22:51+00:00,2026-05-09T07:23:43+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809470,yuo7qefc.mixruby.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:22:42+00:00,2026-05-09T07:27:16+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809469,opt.skyprodoc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:17:20+00:00,2026-05-09T07:18:40+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809468,retailvelvet.mixruby.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:17:10+00:00,2026-05-09T07:17:18+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809467,prox.vpssysnet.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:11:43+00:00,2026-05-09T07:11:53+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809466,lensabhayangkara.com,domain,payload_delivery,win.strelastealer,['StrelaStealer'],2026-05-09T07:08:36+00:00,,100,threatcat_ch,"['payload_delivery', 'StrelaStealer']",,False
1809465,net.vpssysnet.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:07:28+00:00,2026-05-09T07:07:57+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809464,nor-venix.mixruby.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:06:44+00:00,2026-05-09T07:07:25+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809463,sajnrfcj.mixruby.life,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:03:21+00:00,,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809462,sub.vpssysnet.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T07:03:01+00:00,2026-05-09T07:03:41+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809288,154.94.233.234:8443,ip:port,botnet_cc,win.cobalt_strike,"['Cobalt Strike', 'Agentemis', 'BEACON', 'CobaltStrike', 'cobeacon']",2026-05-09T06:59:29+00:00,2026-05-09T06:56:40+00:00,50,sojubear,"['botnet_cc', '35916', 'c2', 'censys', 'cobalt strike']",,False
